"Prevalence of cannabis use in the past three months, self-reported",,,,
Quarterly,,,,
Table: 13-10-0383-01,,,,
"Geography: Canada, Province or territory",,,,
,,,,
,Q4 2019,,,
Geography,"Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval"
Canada,"5,119.40",16.7,15.2,18.4
Newfoundland and Labrador,112.9,25.9,20.9,31.5
Prince Edward Island,27,20.9,16.4,26.2
Nova Scotia,222.7,27.5,22.5,33.2
New Brunswick,115.1,18.4,14.2,23.6
Quebec,"1,003.10",14.3,11.6,17.4
Ontario,"1,970.30",16.3,13.4,19.8
Manitoba,178,17.3,13.2,22.2
Saskatchewan,128,14.4,11,18.6
Alberta,585.2,16.7,13.2,20.9
British Columbia,777.2,19,15.2,23.6
Whitehorse (Yukon),..,..,..,..
Yellowknife (Northwest Territories),..,..,..,..
Iqaluit (Nunavut),..,..,..,..
"Canada, females","2,325.00",15.1,13.2,17.2
"Canada, males","2,779.50",18.4,16.1,21.1
"Canada, ages 15 to 24",968.7,24,17.9,31.4
"Canada, ages 25 to 34","1,493.80",26.9,22,32.4
"Canada, ages 35 to 44","1,000.40",20.1,16.7,24
"Canada, ages 45 to 54",731.8,15.7,12.3,19.8
"Canada, ages 55 to 64",539.7,10.7,8.2,13.7
"Canada, ages 65 years and older",385.1,6.1,4.7,7.9
,,,,
Symbol legend:,,,,
..,not available for a specific reference period,,,
,,,,
Footnotes:,,,,
1,,,,
"How to cite: Statistics Canada. Table 13-10-0383-01 Prevalence of cannabis use in the past three months, self-reported",,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310038301,,,,
DOI: https://doi.org/10.25318/1310038301-eng,,,,