GEO,VALUE
Canada,5119.4
Newfoundland and Labrador,112.9
Prince Edward Island,27
Nova Scotia,222.7
New Brunswick,115.1
Quebec,1003.1
Ontario,1970.3
Manitoba,178
Saskatchewan,128
Alberta,585.2
British Columbia,777.2
Whitehorse (Yukon),..
Yellowknife (Northwest Territories),..
Iqaluit (Nunavut),..
"Canada, females",2325
"Canada, males",2779.5
"Canada, ages 15 to 24",968.7
"Canada, ages 25 to 34",1493.8
"Canada, ages 35 to 44",1000.4
"Canada, ages 45 to 54",731.8
"Canada, ages 55 to 64",539.7
"Canada, ages 65 years and older",385.1